Emp_Id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
IND01,0.33,0.88,6,219,5,0,1,0,support,low
IND010,0.83,0.66,3,239,3,0,0,0,technical,low
IND01003,0.80,0.62,3,191,3,0,0,0,support,medium
IND01006,0.55,0.71,3,211,2,0,0,0,management,low
IND01009,0.72,0.69,4,149,2,0,0,0,management,medium
IND01014,0.84,0.98,5,270,5,0,1,0,sales,low
IND01017,0.52,0.98,4,265,3,0,0,0,product_mng,medium
IND01021,0.87,0.90,5,258,5,0,1,0,support,low
IND01025,0.50,0.63,3,160,2,0,0,0,sales,medium
IND01027,0.15,0.67,6,195,2,0,0,0,sales,medium
IND0103,0.20,0.68,5,167,7,0,0,0,marketing,medium
IND01030,0.89,0.83,3,164,3,0,0,0,IT,low
IND01034,0.10,0.89,7,272,4,0,1,0,sales,medium
IND01036,0.74,0.87,5,224,2,0,0,0,support,medium
IND01041,0.97,0.51,4,241,4,0,0,0,hr,medium
IND01042,0.66,0.65,5,161,3,0,0,0,support,medium
IND01047,0.73,0.65,3,165,3,0,0,0,IT,low
IND01052,0.76,0.70,5,195,3,0,0,0,RandD,low
IND01054,0.45,0.46,3,179,2,1,0,0,sales,low
IND01055,0.86,0.89,4,153,4,0,0,0,sales,low
IND01058,0.70,0.99,5,135,4,0,0,0,sales,medium
IND0106,0.57,0.67,5,235,2,0,0,0,product_mng,low
IND01060,0.20,0.94,6,191,5,0,0,0,support,low
IND01064,0.37,0.45,2,131,3,0,1,0,sales,low
IND01066,0.47,0.81,4,133,3,0,1,0,RandD,low
IND01070,1.00,0.77,5,269,3,0,0,0,sales,low
IND01074,0.87,0.97,4,160,3,0,0,0,IT,low
IND01077,0.52,0.80,3,156,3,0,0,0,sales,medium
IND01078,0.23,0.51,6,194,4,1,0,0,RandD,medium
IND01079,0.83,0.90,5,245,5,0,1,0,product_mng,low
IND01080,0.55,0.97,3,222,2,0,0,0,management,medium
IND01082,0.42,0.56,2,134,3,0,1,0,support,low
IND01087,0.14,0.71,2,155,3,0,0,0,sales,low
IND01089,0.90,0.74,4,206,4,1,0,0,IT,low
IND0109,0.48,0.67,3,183,2,0,0,0,technical,low
IND01093,0.30,0.86,3,276,5,1,0,0,accounting,low
IND01096,0.98,0.74,3,185,3,0,0,0,sales,medium
IND01098,0.30,0.54,2,99,2,0,0,0,RandD,medium
IND011,0.71,0.66,3,238,2,0,0,0,technical,low
IND01103,0.68,0.50,4,166,4,1,0,0,technical,medium
IND01106,0.59,0.83,3,240,3,1,0,0,product_mng,medium
IND01108,0.36,0.59,2,198,2,0,0,1,RandD,medium
IND01112,0.73,0.55,3,149,3,0,0,0,technical,low
IND01113,0.36,0.72,3,179,3,0,0,0,support,high
IND01114,0.67,0.71,4,173,3,0,0,0,support,high
IND01117,0.22,0.80,4,287,4,0,0,0,RandD,low
IND0112,0.38,0.54,2,143,3,0,1,0,sales,low
IND01120,0.54,0.92,4,175,3,0,0,0,support,low
IND01121,0.94,0.58,4,159,3,0,0,0,sales,medium
IND01122,0.52,0.98,4,265,3,0,0,0,product_mng,medium
IND01124,0.75,0.98,4,170,4,0,0,0,management,medium
IND01127,0.80,0.90,4,136,3,0,0,0,technical,low
IND01132,0.48,0.80,5,235,2,0,0,0,support,medium
IND01137,0.11,0.93,7,296,4,0,1,0,RandD,low
IND01142,0.77,0.98,5,259,6,0,1,0,product_mng,low
IND01146,0.80,0.58,5,127,3,0,0,0,sales,low
IND0115,0.72,0.63,4,207,3,0,0,0,sales,low
IND01151,0.66,0.58,4,244,3,0,0,0,sales,medium
